sku,link 1,link 2,link 3,link 4,link 5,link 6,link 7,link 8,link 9
127415,https://storage.googleapis.com/mktplacealpha/inverno25novos/127415_1-20260610164129-1b47ef15.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127415_2-20260610164129-f23fbccd.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127415_3-20260610164129-6d8e9c7a.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127415_4-20260610164129-b98d3533.jpg,,,,,
127416,https://storage.googleapis.com/mktplacealpha/inverno25novos/127416_1-20260610164126-541c2c8c.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127416_2-20260610164126-89bb52c1.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127416_3-20260610164126-e2085428.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127416_4-20260610164126-db320e45.jpg,,,,,
127417,https://storage.googleapis.com/mktplacealpha/inverno25novos/127417_1-20260610164127-2b19ea8a.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127417_2-20260610164127-c84a81d5.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127417_3-20260610164128-faea93dc.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127417_4-20260610164128-015da64b.jpg,,,,,
127418,https://storage.googleapis.com/mktplacealpha/inverno25novos/127418_1-20260610164126-7dd432ea.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127418_2-20260610164127-56c40e0c.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127418_3-20260610164127-86799d62.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127418_4-20260610164127-0a748e8e.jpg,,,,,
127419,https://storage.googleapis.com/mktplacealpha/inverno25novos/127419_1-20260610164128-0d61fe9d.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127419_2-20260610164128-8d1bd01c.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127419_3-20260610164128-b86718ad.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127419_4-20260610164129-04d40c19.jpg,,,,,
127420,https://storage.googleapis.com/mktplacealpha/inverno25novos/127420_1-20260610164125-e9cd8d6a.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127420_2-20260610164125-78e1ad29.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127420_3-20260610164125-c36b7b87.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127420_4-20260610164125-f888c86b.jpg,,,,,
127429,https://storage.googleapis.com/mktplacealpha/inverno25novos/127429_1-20260610164138-8574b95c.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127429_2-20260610164138-f533529f.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127429_3-20260610164138-bda2e0b3.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127429_4-20260610164138-c957e44f.jpg,,,,,
127430,https://storage.googleapis.com/mktplacealpha/inverno25novos/127430_1-20260610164136-88e0c340.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127430_2-20260610164136-b1ff18a9.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127430_3-20260610164136-97ab5f66.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127430_4-20260610164136-3292407d.jpg,,,,,
127431,https://storage.googleapis.com/mktplacealpha/inverno25novos/127431_1-20260610164138-3373fef7.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127431_2-20260610164139-0e7602fe.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127431_3-20260610164139-407b2244.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127431_4-20260610164139-b90ce3d4.jpg,,,,,
127432,https://storage.googleapis.com/mktplacealpha/inverno25novos/127432_1-20260610164137-57d9c0a3.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127432_2-20260610164137-82f9acfb.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127432_3-20260610164137-f38171e8.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127432_4-20260610164137-cd51cc4a.jpg,,,,,
127433,https://storage.googleapis.com/mktplacealpha/inverno25novos/127433_1-20260610164212-c31b9d49.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127433_2-20260610164212-db5cb5f1.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127433_3-20260610164212-309efc2e.png,,,,,,
127434,https://storage.googleapis.com/mktplacealpha/inverno25novos/127434_1-20260610164211-7343800b.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127434_2-20260610164211-952e88e5.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127434_3-20260610164211-af645fce.png,,,,,,
127435,https://storage.googleapis.com/mktplacealpha/inverno25novos/127435_1-20260610164209-fd01fdbb.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127435_2-20260610164210-42b47312.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127435_3-20260610164210-c531970f.png,,,,,,
127436,https://storage.googleapis.com/mktplacealpha/inverno25novos/127436_1-20260610164210-5305b0a9.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127436_2-20260610164210-1c357fcf.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127436_3-20260610164210-7871afe7.png,,,,,,
127437,https://storage.googleapis.com/mktplacealpha/inverno25novos/127437_1-20260610164204-6cddd134.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127437_2-20260610164205-72795ec6.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127437_3-20260610164205-11369837.png,,,,,,
127438,https://storage.googleapis.com/mktplacealpha/inverno25novos/127438_1-20260610164204-765a4e29.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127438_2-20260610164204-253d2632.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127438_3-20260610164204-5a57d412.png,,,,,,
127439,https://storage.googleapis.com/mktplacealpha/inverno25novos/127439_1-20260610164205-ed5fa3bd.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127439_2-20260610164205-a0325ac5.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127439_3-20260610164206-412d90dc.png,,,,,,
127440,https://storage.googleapis.com/mktplacealpha/inverno25novos/127440_1-20260610164203-e6dde3c9.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127440_2-20260610164203-b83cc61d.webp,https://storage.googleapis.com/mktplacealpha/inverno25novos/127440_3-20260610164203-bf976492.png,,,,,,
127453,https://storage.googleapis.com/mktplacealpha/inverno25novos/127453_1-20260610164236-d0e8fa13.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127453_2-20260610164237-162c203c.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127453_3-20260610164237-ee1eab85.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127453_4-20260610164237-31c2200c.jpg,,,,,
127454,https://storage.googleapis.com/mktplacealpha/inverno25novos/127454_1-20260610164233-2888df86.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127454_2-20260610164233-1c12c7eb.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127454_3-20260610164233-781b8ae5.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127454_4-20260610164233-8d23298c.jpg,,,,,
127455,https://storage.googleapis.com/mktplacealpha/inverno25novos/127455_1-20260610164235-6355622c.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127455_2-20260610164235-3bf034dc.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127455_3-20260610164236-57cb6ef7.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127455_4-20260610164236-34205a9f.jpg,,,,,
127456,https://storage.googleapis.com/mktplacealpha/inverno25novos/127456_1-20260610164235-2150764a.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127456_2-20260610164235-febe9b79.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127456_3-20260610164235-9852d1e9.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127456_4-20260610164235-fe91e67b.jpg,,,,,
127457,https://storage.googleapis.com/mktplacealpha/inverno25novos/127457_1-20260610164237-7be9ee44.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127457_2-20260610164238-1a9c4f36.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127457_3-20260610164237-4b287622.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127457_4-20260610164238-a48fbe67.jpg,,,,,
127458,https://storage.googleapis.com/mktplacealpha/inverno25novos/127458_1-20260610164233-fe95154f.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127458_2-20260610164234-f3def183.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127458_3-20260610164234-31c5b5e1.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127458_4-20260610164234-9dbcc805.jpg,,,,,
127459,https://storage.googleapis.com/mktplacealpha/inverno25novos/127459_1-20260610164155-5c419221.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127459_2-20260610164156-1ba02dd5.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127459_3-20260610164156-d8a42f8c.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127459_4-20260610164156-0e5f8440.jpg,,,,,
127460,https://storage.googleapis.com/mktplacealpha/inverno25novos/127460_1-20260610164157-7ef0266e.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127460_2-20260610164157-ab1a6abc.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127460_3-20260610164157-ce3cd552.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127460_4-20260610164157-d425c63c.jpg,,,,,
127461,https://storage.googleapis.com/mktplacealpha/inverno25novos/127461_1-20260610164154-214d4a7b.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127461_2-20260610164155-9e20ab40.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127461_3-20260610164154-4a4a733f.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127461_4-20260610164155-78a7a670.jpg,,,,,
127462,https://storage.googleapis.com/mktplacealpha/inverno25novos/127462_1-20260610164153-cac2edef.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127462_2-20260610164153-2f337bdd.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127462_3-20260610164153-f40902a8.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127462_4-20260610164153-a86fcaec.jpg,,,,,
